City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambon,-3.6954,128.1814,26.08,89,40,1.03,ID,1667587463
1,avarua,-21.2078,-159.775,24.03,78,75,4.63,CK,1667587464
2,bethel,41.3712,-73.414,22.42,57,20,4.12,US,1667587464
3,malinyi,-8.9333,36.1333,29.07,38,79,2.91,TZ,1667587464
4,qujing,25.4833,103.7833,10.44,89,100,0.93,CN,1667587465
5,besancon,47.2488,6.0182,7.33,95,100,1.6,FR,1667587465
6,bluff,-46.6,168.3333,9.76,68,100,11.61,NZ,1667587465
7,hamilton,39.1834,-84.5333,24.86,54,40,8.75,US,1667587218
8,faanui,-16.4833,-151.75,24.65,86,94,11.64,PF,1667587466
9,maningrida,-12.0667,134.2667,25.57,63,88,3.01,AU,1667587466
10,hobart,-42.8794,147.3294,11.81,88,100,1.54,AU,1667587466
11,new norfolk,-42.7826,147.0587,11.62,72,88,0.78,AU,1667587467
12,batagay-alyta,67.8006,130.4114,-26.09,89,20,1.89,RU,1667587467
13,khatanga,71.9667,102.5,-26.37,100,65,0.83,RU,1667587468
14,vaini,-21.2,-175.2,24.09,83,20,3.09,TO,1667587468
15,jinotega,13.0917,-86.0018,26.71,69,40,3.09,NI,1667587468
16,alyangula,-13.8483,136.4192,25.42,61,88,3.55,AU,1667587469
17,santiago de cao,-7.9589,-79.2392,20.07,68,20,4.12,PE,1667587469
18,vanavara,60.34,102.2797,-13.29,98,81,1.72,RU,1667587469
19,carnarvon,-24.8667,113.6333,19.13,74,0,9.92,AU,1667587470
20,albany,42.6001,-73.9662,21.92,52,30,0.45,US,1667587326
21,atuona,-9.8,-139.0333,25.32,79,2,7.91,PF,1667587470
22,pinawa,50.1489,-95.8811,1.9,40,0,2.65,CA,1667587470
23,punta arenas,-53.15,-70.9167,14.06,72,75,6.17,CL,1667587471
24,saint-philippe,-21.3585,55.7679,22.77,81,32,2.33,RE,1667587471
25,lagoa,39.05,-27.9833,17.76,85,100,4.17,PT,1667587471
26,jamestown,42.097,-79.2353,22.77,55,0,5.66,US,1667587175
27,rikitea,-23.1203,-134.9692,21.23,70,0,5.55,PF,1667587472
28,yulara,-25.2406,130.9889,19.1,28,0,5.54,AU,1667587472
29,kadyy,57.787,43.1903,0.6,97,100,1.46,RU,1667587472
30,hilo,19.7297,-155.09,22.28,98,75,4.02,US,1667587473
31,hithadhoo,-0.6,73.0833,27.1,77,100,4.84,MV,1667587473
32,pisco,-13.7,-76.2167,19.03,72,100,4.12,PE,1667587473
33,arraial do cabo,-22.9661,-42.0278,21.98,56,75,3.6,BR,1667587474
34,tezu,27.9167,96.1667,18.4,51,0,1.95,IN,1667587474
35,port alfred,-33.5906,26.891,19.54,91,70,0.45,ZA,1667587474
36,busselton,-33.65,115.3333,10.63,89,0,4.32,AU,1667587475
37,serenje,-13.2325,30.2352,22.79,41,61,3.38,ZM,1667587475
38,geraldton,-28.7667,114.6,14.23,77,0,6.17,AU,1667587476
39,qaanaaq,77.484,-69.3632,-7.26,66,100,3.65,GL,1667587476
40,zhob,31.3411,69.4481,17.86,34,61,0.81,PK,1667587476
41,codrington,-38.2667,141.9667,7.12,94,0,3.3,AU,1667587477
42,terney,45.0503,136.6092,-1.31,51,1,3.13,RU,1667587477
43,bredasdorp,-34.5322,20.0403,17.51,93,85,2.29,ZA,1667587286
44,hami,42.8,93.45,7.59,25,66,2.24,CN,1667587477
45,elko,41.0002,-115.5012,2.02,58,100,10.28,US,1667587478
46,sarh,9.1429,18.3923,23.95,64,0,0.0,TD,1667587478
47,angoche,-16.2325,39.9086,26.18,79,0,5.78,MZ,1667587478
48,mar del plata,-38.0023,-57.5575,21.02,74,0,10.73,AR,1667587479
49,marsala,37.7966,12.4352,21.05,73,40,7.2,IT,1667587387
50,marigot,18.0667,-63.0833,28.36,76,40,6.17,MF,1667587479
51,dingle,10.9995,122.6711,24.39,94,92,2.8,PH,1667587479
52,thompson,55.7435,-97.8558,-8.91,86,100,1.03,CA,1667587404
53,kaeo,-35.1,173.7833,11.29,96,14,1.48,NZ,1667587480
54,ushuaia,-54.8,-68.3,8.81,81,100,3.09,AR,1667587241
55,nioki,-2.7167,17.6833,21.38,98,100,0.87,CD,1667587480
56,ust-tsilma,65.441,52.1498,-11.19,96,100,1.22,RU,1667587480
57,slave lake,55.2834,-114.769,2.99,60,0,5.66,CA,1667587481
58,esperance,-33.8667,121.9,14.47,79,2,6.95,AU,1667587481
59,tuatapere,-46.1333,167.6833,8.12,78,100,4.93,NZ,1667587481
60,yellowknife,62.456,-114.3525,-10.71,85,75,5.14,CA,1667587244
61,novoorsk,51.381,58.9813,-1.64,85,100,5.69,RU,1667587482
62,labuhan,-6.8844,112.2051,26.62,83,100,2.02,ID,1667587482
63,cayenne,4.9333,-52.3333,25.02,94,0,1.54,GF,1667587483
64,the valley,18.217,-63.0578,28.39,89,40,5.66,AI,1667587483
65,yining,29.0361,114.5636,9.55,96,5,1.02,CN,1667587483
66,ribeira grande,38.5167,-28.7,20.22,88,75,4.12,PT,1667587484
67,sassandra,4.95,-6.0833,25.63,86,100,2.09,CI,1667587485
68,yar-sale,66.8333,70.8333,-12.59,90,44,3.61,RU,1667587485
69,aklavik,68.2191,-135.0107,-12.7,94,100,4.79,CA,1667587486
70,chicama,-7.8447,-79.1469,19.3,56,14,4.61,PE,1667587486
71,belyy yar,53.6039,91.3903,-0.06,82,40,2.0,RU,1667587487
72,kavieng,-2.5744,150.7967,27.8,75,53,2.12,PG,1667587487
73,kodiak,57.79,-152.4072,-1.27,43,0,15.43,US,1667587382
74,mozarlandia,-14.7447,-50.5706,32.97,29,5,2.68,BR,1667587488
75,isangel,-19.55,169.2667,25.41,83,2,3.1,VU,1667587488
76,saskylakh,71.9167,114.0833,-19.73,97,100,3.64,RU,1667587488
77,arlit,18.7369,7.3853,25.31,15,100,4.43,NE,1667587489
78,ponta do sol,32.6667,-17.1,23.34,86,19,1.0,PT,1667587489
79,ekhabi,53.5102,142.9671,-0.31,79,37,5.75,RU,1667587490
80,den helder,52.9599,4.7593,12.99,77,100,4.02,NL,1667587490
