City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,24.87,70,46,5.2,PF,1667771566
1,tasiilaq,65.6145,-37.6368,-6.63,83,87,2.46,GL,1667771567
2,rikitea,-23.1203,-134.9692,22.23,74,65,6.06,PF,1667771279
3,luderitz,-26.6481,15.1594,17.06,81,95,2.53,NA,1667771567
4,madang,-5.2246,145.7966,26.56,82,87,1.77,PG,1667771567
5,georgetown,5.4112,100.3354,27.35,90,20,1.54,MY,1667770998
6,voh,-20.9667,164.7,28.61,66,2,2.11,NC,1667771568
7,cidreira,-30.1811,-50.2056,17.18,81,2,6.32,BR,1667771568
8,mangan,27.5167,88.5333,15.57,43,1,2.53,IN,1667771568
9,bethel,41.3712,-73.414,21.42,82,100,0.45,US,1667771467
10,papara,-3.9839,-38.7273,26.22,77,76,2.09,BR,1667771569
11,albany,42.6001,-73.9662,21.36,84,59,0.45,US,1667770999
12,mataura,-46.1927,168.8643,16.48,43,5,3.38,NZ,1667771569
13,saint anthony,45.0205,-93.218,9.92,39,0,11.83,US,1667771570
14,changping,40.2186,116.2197,1.8,52,4,3.38,CN,1667771570
15,longyearbyen,78.2186,15.6401,-0.09,74,75,6.69,SJ,1667771288
16,kununurra,-15.7667,128.7333,25.99,78,13,0.0,AU,1667771520
17,makakilo city,21.3469,-158.0858,29.18,58,40,6.17,US,1667771570
18,vaini,-21.2,-175.2,26.09,65,20,3.09,TO,1667771571
19,hithadhoo,-0.6,73.0833,27.39,76,72,5.37,MV,1667771571
20,vila franca do campo,37.7167,-25.4333,18.23,81,29,3.8,PT,1667771571
21,dicabisagan,17.0818,122.4157,24.29,92,60,1.42,PH,1667771572
22,ushuaia,-54.8,-68.3,8.81,81,40,2.06,AR,1667771572
23,kaeo,-35.1,173.7833,18.51,71,78,6.68,NZ,1667771572
24,ponta do sol,32.6667,-17.1,21.35,88,57,1.54,PT,1667771573
25,sola,-13.8833,167.55,25.37,94,79,0.0,VU,1667771573
26,tuatapere,-46.1333,167.6833,15.83,53,22,3.89,NZ,1667771573
27,hobart,-42.8794,147.3294,14.03,89,40,0.67,AU,1667770809
28,sitka,57.0531,-135.33,0.94,32,0,9.26,US,1667771574
29,airai,-8.9266,125.4092,16.5,74,97,0.93,TL,1667771574
30,topolovgrad,42.0833,26.3333,14.85,81,100,4.68,BG,1667771574
31,dikson,73.5069,80.5464,-13.08,92,100,3.64,RU,1667771575
32,cape town,-33.9258,18.4232,18.38,74,0,7.2,ZA,1667771447
33,east london,-33.0153,27.9116,19.44,77,55,7.46,ZA,1667771575
34,bluff,-46.6,168.3333,13.59,61,31,5.91,NZ,1667771575
35,avarua,-21.2078,-159.775,26.03,61,75,3.09,CK,1667771576
36,punta arenas,-53.15,-70.9167,16.06,44,0,7.72,CL,1667771499
37,kemijarvi,66.7131,27.4306,0.24,99,100,0.64,FI,1667771576
38,puerto ayora,-0.7393,-90.3518,23.98,73,93,6.67,EC,1667771577
